DR_NO,DATE OCC,TIME OCC,AREA NAME,Crm Cd Desc
10304468,01/08/2020 12:00:00 AM,2230,Southwest,BATTERY - SIMPLE ASSAULT
190101086,01/01/2020 12:00:00 AM,330,Central,BATTERY - SIMPLE ASSAULT
200110444,02/13/2020 12:00:00 AM,1200,Central,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE
191501505,01/01/2020 12:00:00 AM,1730,N Hollywood,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
191921269,01/01/2020 12:00:00 AM,415,Mission,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
200100501,01/01/2020 12:00:00 AM,30,Central,"RAPE, FORCIBLE"
200100502,01/02/2020 12:00:00 AM,1315,Central,SHOPLIFTING - PETTY THEFT ($950 & UNDER)
200100504,01/04/2020 12:00:00 AM,40,Central,OTHER MISCELLANEOUS CRIME
200100507,01/04/2020 12:00:00 AM,200,Central,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"
201710201,05/26/2020 12:00:00 AM,1925,Devonshire,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"
200100509,01/04/2020 12:00:00 AM,2200,Central,BURGLARY FROM VEHICLE
200100510,01/05/2020 12:00:00 AM,955,Central,CRIMINAL THREATS - NO WEAPON DISPLAYED
200100514,01/05/2020 12:00:00 AM,1355,Central,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"
200100515,01/07/2020 12:00:00 AM,1638,Central,ARSON
200100520,01/08/2020 12:00:00 AM,1805,Central,SHOPLIFTING - PETTY THEFT ($950 & UNDER)
211916029,11/30/2020 12:00:00 AM,730,Mission,INTIMATE PARTNER - SIMPLE ASSAULT
201116159,11/28/2020 12:00:00 AM,2018,Northeast,INTIMATE PARTNER - SIMPLE ASSAULT
200506268,02/22/2020 12:00:00 AM,1900,Harbor,THEFT PLAIN - PETTY ($950 & UNDER)
210916801,11/19/2020 12:00:00 AM,1200,Van Nuys,THEFT OF IDENTITY
200100535,01/14/2020 12:00:00 AM,1330,Central,ROBBERY
200914517,09/09/2020 12:00:00 AM,1735,Van Nuys,THEFT OF IDENTITY
200100538,01/14/2020 12:00:00 AM,1730,Central,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"
200100543,01/15/2020 12:00:00 AM,1445,Central,SHOPLIFTING - PETTY THEFT ($950 & UNDER)
211014725,12/28/2020 12:00:00 AM,1,West Valley,THEFT OF IDENTITY
200100546,01/15/2020 12:00:00 AM,700,Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
211015072,11/01/2020 12:00:00 AM,1200,West Valley,THEFT OF IDENTITY
201106067,02/15/2020 12:00:00 AM,1830,Northeast,BURGLARY FROM VEHICLE
200100552,01/19/2020 12:00:00 AM,2000,Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
200815333,10/15/2020 12:00:00 AM,2000,West LA,BATTERY - SIMPLE ASSAULT
200100556,01/20/2020 12:00:00 AM,400,Central,"RAPE, FORCIBLE"
200100559,01/23/2020 12:00:00 AM,600,Central,BURGLARY
210816993,04/28/2020 12:00:00 AM,100,West LA,THEFT OF IDENTITY
201111990,07/29/2020 12:00:00 AM,2020,Northeast,INTIMATE PARTNER - SIMPLE ASSAULT
200117988,09/03/2020 12:00:00 AM,2000,Central,VEHICLE - STOLEN
200100568,01/27/2020 12:00:00 AM,1500,Central,CRIMINAL THREATS - NO WEAPON DISPLAYED
211015073,11/01/2020 12:00:00 AM,1200,West Valley,THEFT OF IDENTITY
200716724,12/03/2020 12:00:00 AM,811,Wilshire,SHOPLIFTING - PETTY THEFT ($950 & UNDER)
200914052,08/27/2020 12:00:00 AM,1255,Van Nuys,BATTERY - SIMPLE ASSAULT
200100572,01/28/2020 12:00:00 AM,2100,Central,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
200810920,06/20/2020 12:00:00 AM,1000,West LA,BATTERY - SIMPLE ASSAULT
200100574,01/29/2020 12:00:00 AM,1930,Central,SHOPLIFTING - PETTY THEFT ($950 & UNDER)
200100576,01/30/2020 12:00:00 AM,55,Central,BURGLARY FROM VEHICLE
200100578,01/30/2020 12:00:00 AM,2040,Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
200100583,02/04/2020 12:00:00 AM,920,Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
200100584,02/04/2020 12:00:00 AM,1645,Central,SHOPLIFTING - PETTY THEFT ($950 & UNDER)
221412410,11/12/2020 12:00:00 AM,1700,Pacific,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
200100587,02/06/2020 12:00:00 AM,1135,Central,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
200218458,12/11/2020 12:00:00 AM,420,Rampart,BRANDISH WEAPON
201225288,11/26/2020 12:00:00 AM,115,77th Street,INTIMATE PARTNER - AGGRAVATED ASSAULT
200100596,02/08/2020 12:00:00 AM,1600,Central,SHOPLIFTING - PETTY THEFT ($950 & UNDER)
200407318,03/27/2020 12:00:00 AM,315,Hollenbeck,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
200407198,03/22/2020 12:00:00 AM,430,Hollenbeck,INTIMATE PARTNER - SIMPLE ASSAULT
201112187,07/16/2020 12:00:00 AM,1900,Northeast,"BUNCO, GRAND THEFT"
210109294,12/01/2020 12:00:00 AM,1200,Central,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE
200104020,01/01/2020 12:00:00 AM,245,Central,"THEFT, PERSON"
200104024,01/01/2020 12:00:00 AM,325,Central,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
